Number,Year,Title,Genre,Rated,Type,imdbRating,Runtime,Director,Writer,Actors,Language,Country,Awards,imdbVotes,imdbID
2152,2000,What Women Want,"Comedy, Fantasy, Romance",PG-13,movie,6.4,127 min,Nancy Meyers,"Josh Goldsmith (story), Cathy Yuspa (story), Diane Drake (story), Josh Goldsmith (screenplay), Cathy Yuspa (screenplay)","Mel Gibson, Helen Hunt, Marisa Tomei, Alan Alda","English, French",USA,Nominated for 1 Golden Globe. Another 5 wins & 7 nominations.,"160,543",tt0207201
2153,1993,Free Willy,"Adventure, Drama, Family",PG,movie,5.9,112 min,Simon Wincer,"Keith Walker (story), Keith Walker (screenplay), Corey Blechman (screenplay)","Jason James Richter, Lori Petty, Jayne Atkinson, August Schellenberg",English,"USA, France",7 wins & 2 nominations.,"51,624",tt0106965
2154,1986,Absolute Beginners,"Drama, Fantasy, Musical",PG-13,movie,5.6,108 min,Julien Temple,"Colin MacInnes (based on the novel by), Michael Hamlyn (developed for the screen by), Richard Burridge (screenplay), Christopher Wicking (screenplay), Don MacPherson (screenplay), Terry Johnson (additional dialogue by)","Patsy Kensit, Eddie O'Connell, David Bowie, James Fox",English,UK,0,"2,483",tt0090585
2155,2003,Tempo,"Romance, Crime, Thriller",R,movie,4.7,83 min,Eric Styles,"L.M. Kit Carson, Jeremy Lipp, Jennifer Salt","Melanie Griffith, Rachael Leigh Cook, Hugh Dancy, Malcolm McDowell",English,"Canada, France, Luxembourg, UK",0,808,tt0307553
2161,1993,Six Degrees of Separation,"Comedy, Drama, Mystery",R,movie,6.9,112 min,Fred Schepisi,"John Guare (play), John Guare (screenplay)","Stockard Channing, Will Smith, Donald Sutherland, Ian McKellen",English,USA,Nominated for 1 Oscar. Another 5 nominations.,"16,577",tt0108149
2163,1999,Mystery Men,"Action, Comedy, Fantasy",PG-13,movie,6,121 min,Kinka Usher,"Neil Cuthbert, Bob Burden (creator: comic book series)","Ben Stiller, Hank Azaria, William H. Macy, Janeane Garofalo",English,USA,3 nominations.,"54,354",tt0132347
2164,2004,Rory O'Shea Was Here,"Comedy, Drama",R,movie,7.9,104 min,Damien O'Donnell,"Jeffrey Caine (screenplay), Christian O'Reilly (story)","Steven Robertson, Alan King, Brenda Fricker, Ruth McCabe",English,"UK, Ireland, France",5 wins & 8 nominations.,"11,685",tt0417791
2165,1940,Flash Gordon Conquers the Universe,"Action, Sci-Fi, Adventure",APPROVED,movie,7.1,220 min,"Ford Beebe, Ray Taylor","George H. Plympton (screenplay), Basil Dickey (screenplay), Barry Shipman (screenplay), Alex Raymond (newspaper feature ""Flash Gordon"")","Buster Crabbe, Carol Hughes, Charles Middleton, Anne Gwynne",English,USA,1 nomination.,872,tt0032475
2167,1996,Fly Away Home,"Adventure, Drama, Family",PG,movie,6.8,107 min,Carroll Ballard,"Bill Lishman (autobiography), Robert Rodat (screenplay), Vince McKewin (screenplay)","Jeff Daniels, Anna Paquin, Dana Delany, Terry Kinney",English,USA,Nominated for 1 Oscar. Another 4 wins & 5 nominations.,"19,902",tt0116329
2173,1998,BASEketball,"Comedy, Sport",R,movie,6.6,103 min,David Zucker,"David Zucker, Robert LoCash, Lewis Friedman, Jeff Wright","Trey Parker, Matt Stone, Dian Bachar, Yasmine Bleeth",English,USA,2 nominations.,"48,961",tt0131857
2174,1996,The Ghost and the Darkness,"Adventure, Drama, Horror",R,movie,6.8,110 min,Stephen Hopkins,William Goldman,"Michael Douglas, Val Kilmer, Tom Wilkinson, John Kani","English, Hindi","USA, Germany",Won 1 Oscar. Another 2 nominations.,"46,571",tt0116409
2175,1996,Memories,Drama,N/A,movie,8.2,100 min,Bob Clark,Tim Cagney,"Mary Tyler Moore, Linda Lavin, Nathan Watt, Wayne Grace",English,USA,1 nomination.,80,tt0114549
2176,2000,VeggieTales: Esther,"Animation, Short, Drama",UNRATED,movie,7.3,30 min,Mike Nawrocki,"Mike Nawrocki, Phil Vischer","Jessica Kaplan, Pamela Thomas, Phil Vischer, Mike Nawrocki",N/A,USA,N/A,358,tt0284605
2177,1996,Extreme Measures,"Crime, Drama, Mystery",R,movie,6.1,118 min,Michael Apted,"Michael Palmer (book), Tony Gilroy (screenplay)","Hugh Grant, Gene Hackman, Sarah Jessica Parker, David Morse",English,USA,0,"14,145",tt0116259
2178,1998,Lock,"Comedy, Crime",R,movie,8.2,107 min,Guy Ritchie,Guy Ritchie,"Jason Flemyng, Dexter Fletcher, Nick Moran, Jason Statham",English,UK,Nominated for 1 BAFTA Film Award. Another 13 wins & 7 nominations.,"420,171",tt0120735
2180,1999,Rogue Trader,"Crime, Drama, History",R,movie,6.3,101 min,James Dearden,"James Dearden, Nick Leeson (autobiography), Edward Whitley (book)","Ewan McGregor, Anna Friel, Yves Beneyton, Betsy Brantley",English,UK,0,"7,879",tt0131566
2182,2000,All the Pretty Horses,"Drama, Romance, Western",PG-13,movie,5.8,116 min,Billy Bob Thornton,"Cormac McCarthy (novel), Ted Tally (screenplay)","Matt Damon, Henry Thomas, Penélope Cruz, Angelina Torres","English, Spanish",USA,Nominated for 1 Golden Globe. Another 2 wins & 13 nominations.,"11,451",tt0149624
2183,1974,Space Is the Place,"Sci-Fi, Music",R,movie,6.7,85 min,John Coney,"Joshua Smith, Sun Ra","Barbara Deloney, Sun Ra, Raymond Johnson, Erika Leder",English,USA,0,587,tt0072195
2184,1988,The Dawning,"Drama, Romance, Thriller",PG,movie,6.2,97 min,Robert Knights,"Jennifer Johnston (novel), Moira Williams","Anthony Hopkins, Rebecca Pidgeon, Jean Simmons, Trevor Howard",English,UK,2 wins.,273,tt0094955
2186,1995,Bad Boys,"Action, Comedy, Crime",R,movie,6.8,119 min,Michael Bay,"George Gallo (story), Michael Barrie (screenplay), Jim Mulholland (screenplay), Doug Richardson (screenplay)","Lisa Boyle, Will Smith, Martin Lawrence, Michael Taliferro",English,USA,1 win & 3 nominations.,"174,482",tt0112442
2188,1983,Eddie and the Cruisers,"Drama, Mystery, Music",PG,movie,6.9,95 min,Martin Davidson,"Martin Davidson (screenplay), Arlene Davidson (screenplay), P.F. Kluge (novel)","Tom Berenger, Michael Paré, Joe Pantoliano, Matthew Laurance",English,USA,0,"5,383",tt0085475
2190,1960,The World of Suzie Wong,"Drama, Romance",APPROVED,movie,7.1,126 min,Richard Quine,"Paul Osborn (adaptation), Richard Mason (novel), John Patrick (screenplay)","William Holden, Nancy Kwan, Sylvia Syms, Michael Wilding","English, Cantonese","UK, USA",Won 1 Golden Globe. Another 4 nominations.,"1,605",tt0054483
2192,1999,The Hurricane,"Biography, Drama, Sport",R,movie,7.6,146 min,Norman Jewison,"Rubin 'Hurricane' Carter (book), Sam Chaiton (book), Terry Swinton (book), Armyan Bernstein (screenplay), Dan Gordon (screenplay)","Denzel Washington, Vicellous Shannon, Deborah Kara Unger, Liev Schreiber",English,USA,Nominated for 1 Oscar. Another 7 wins & 17 nominations.,"76,455",tt0174856
2198,1988,Betrayed,"Action, Drama, Romance",R,movie,6.3,127 min,Costa-Gavras,Joe Eszterhas,"Debra Winger, Tom Berenger, John Heard, Betsy Blair",English,"USA, Japan",0,"4,325",tt0094731
2199,1991,Ricochet,"Action, Crime, Drama",R,movie,6.1,102 min,Russell Mulcahy,"Fred Dekker (story), Menno Meyjes (story), Steven E. de Souza (screenplay)","Denzel Washington, John Lithgow, Ice-T, Kevin Pollak",English,USA,0,"12,753",tt0102789
2200,2002,Collateral Damage,"Action, Drama, Thriller",R,movie,5.5,108 min,Andrew Davis,"Ronald Roose (story), David Griffiths (story), Peter Griffiths (story), David Griffiths (screenplay), Peter Griffiths (screenplay)","Arnold Schwarzenegger, Francesca Neri, Elias Koteas, Cliff Curtis","English, Spanish",USA,0,"61,830",tt0233469
2209,1981,On Golden Pond,Drama,PG,movie,7.7,109 min,Mark Rydell,"Ernest Thompson (screenplay), Ernest Thompson (based on his play)","Katharine Hepburn, Henry Fonda, Jane Fonda, Doug McKeon",English,"UK, USA",Won 3 Oscars. Another 11 wins & 23 nominations.,"21,563",tt0082846
2212,1993,The Secret Garden,"Drama, Family, Fantasy",G,movie,7.3,101 min,Agnieszka Holland,"Frances Hodgson Burnett (book), Caroline Thompson (screenplay)","Kate Maberly, Heydon Prowse, Andrew Knott, Maggie Smith",English,USA,Nominated for 1 BAFTA Film Award. Another 3 wins & 5 nominations.,"28,315",tt0108071
2217,2001,Buffalo Soldiers,"Comedy, Crime, Drama",R,movie,6.9,98 min,Gregor Jordan,"Robert O'Connor (book), Gregor Jordan (screenplay), Eric Weiss (screenplay), Nora Maccoby (screenplay)","Joaquin Phoenix, Ed Harris, Scott Glenn, Anna Paquin","English, Turkish","UK, Germany",1 win & 6 nominations.,"20,733",tt0252299
2223,1997,Wrong Guy,"Comedy, Thriller",PG-13,movie,7.2,92 min,David Steinberg,"Dave Foley, David Anthony Higgins, Jay Kogen","Dave Foley, David Anthony Higgins, Jennifer Tilly, Joe Flaherty",English,"Canada, UK",1 win & 2 nominations.,"2,562",tt0120536
2227,1994,Suite 16,"Drama, Thriller",R,movie,5.8,106 min,Dominique Deruddere,"Charlie Higson, Lise Mayer","Pete Postlethwaite, Antonie Kamerling, Géraldine Pailhas, Tom Jansen","Dutch, English","UK, Belgium, Netherlands",0,551,tt0114577
2228,2003,VeggieTales: The Ballad of Little Joe,"Family, Short, Animation",N/A,movie,7.5,32 min,Tim Hodge,"Robert G. Lee, Phil Vischer","Mike Nawrocki, Jim Poole, Jackie Ritz, Mike Sage",English,USA,0,256,tt0395293
2229,1988,Heartbreak Hotel,"Comedy, Musical, Romance",PG-13,movie,5.7,97 min,Chris Columbus,Chris Columbus,"David Keith, Tuesday Weld, Charlie Schlatter, Angela Goethals",English,USA,2 nominations.,960,tt0095288
2230,2004,Dirty War,"Thriller, Drama",TV-MA,movie,6.7,90 min,Daniel Percival,"Lizzie Mickery, Daniel Percival","Gavin Abbott, Joanne Adams, Shamshad Akhtar, Dean Ashton",English,"UK, USA",1 win.,"1,050",tt0427157
2235,2004,Undertow,"Drama, Thriller",R,movie,6.7,108 min,David Gordon Green,"Lingard Jervey (story), Joe Conway (screenplay), David Gordon Green (screenplay)","Jamie Bell, Kristen Stewart, Robert Longstreet, Terry Loughlin",English,USA,3 wins & 6 nominations.,"7,332",tt0360130
2239,1979,The Villain,"Comedy, Western",PG,movie,5.4,89 min,Hal Needham,Robert G. Kane,"Kirk Douglas, Ann-Margret, Arnold Schwarzenegger, Paul Lynde",English,USA,0,"5,057",tt0080097
2243,1996,Alaska,"Adventure, Family",PG,movie,5.7,109 min,Fraser C. Heston,"Andy Burg, Scott Myers","Thora Birch, Vincent Kartheiser, Dirk Benedict, Charlton Heston",English,USA,3 nominations.,"4,262",tt0115493
2246,2003,Henry VIII,"Biography, Drama, Romance",N/A,movie,7.3,193 min,Pete Travis,Peter Morgan,"Ray Winstone, Joss Ackland, Sid Mitchell, Charles Dance",English,UK,1 win & 1 nomination.,"1,809",tt0382737
2247,1973,Don't Look in the Basement,"Horror, Thriller",R,movie,5.2,89 min,S.F. Brownrigg,Tim Pope,"Bill McGhee, Jessie Lee Fulton, Robert Dracup, Harryette Warren",English,USA,0,"2,180",tt0069994
2248,1952,The Narrow Margin,"Film-Noir, Thriller",NOT RATED,movie,7.8,71 min,Richard Fleischer,"Earl Felton (screen play), Martin Goldsmith (story), Jack Leonard (story)","Charles McGraw, Marie Windsor, Jacqueline White, Gordon Gebert",English,USA,0,"5,116",tt0044954
2250,2001,Etoiles: Dancers of the Paris Opera Ballet,"Documentary, Music",N/A,movie,7.4,100 min,Nils Tavernier,Nils Tavernier,"Aurélie Dupont, Laurent Hilaire, Nicolas Le Riche, Manuel Legris",French,France,0,148,tt0260713
2251,1990,The Rookie,"Action, Comedy, Crime",R,movie,5.8,120 min,Clint Eastwood,"Boaz Yakin, Scott Spiegel","Clint Eastwood, Charlie Sheen, Raul Julia, Sonia Braga",English,USA,0,"20,320",tt0100514
2252,1992,Bram Stoker's Dracula,"Fantasy, Horror",R,movie,7.5,128 min,Francis Ford Coppola,"Bram Stoker (novel), James V. Hart (screenplay)","Gary Oldman, Winona Ryder, Anthony Hopkins, Keanu Reeves","English, Romanian, Greek, Bulgarian, Latin",USA,Won 3 Oscars. Another 12 wins & 15 nominations.,"145,920",tt0103874
2254,2003,A Guy Thing,"Comedy, Romance",PG-13,movie,5.6,101 min,Chris Koch,"Greg Glienna (story), Greg Glienna (screenplay), Pete Schwaba (screenplay), Matt Tarses (screenplay), Bill Wrubel (screenplay)","Jason Lee, Julia Stiles, Selma Blair, James Brolin",English,USA,0,"14,212",tt0295289
2256,2002,Sunshine State,"Drama, Romance",PG-13,movie,6.9,141 min,John Sayles,John Sayles,"Alex Lewis, Alan King, Cullen Douglas, Clifton James",English,USA,7 wins & 3 nominations.,"3,444",tt0286179
2257,1967,The Shooting,"Animation, Short",APPROVED,movie,5.7,6 min,Gerry Chiniquy,John W. Dunn (story),"Pat Harrington Jr., Mark Skor",English,USA,0,22,tt0062261
2258,1997,Lawyer Lawyer,"Comedy, Drama",N/A,movie,6.1,85 min,Joe Ma,"Joe Ma, Ho Wa Wong","Stephen Chow, Eric Kot, Chingmy Yau, Karen Mok",Cantonese,Hong Kong,0,987,tt0133059
2265,2000,2001: A Space Travesty,"Comedy, Sci-Fi",R,movie,3.3,99 min,Allan A. Goldstein,"Vince Di Clemente (contributing writer), Alan Shearman (screenplay)","Leslie Nielsen, Ophélie Winter, Ezio Greggio, Peter Egan",English,"Canada, Germany",0,"9,657",tt0157262
2270,2004,Musafir,"Action, Crime, Drama",R,movie,5.4,151 min,Sanjay Gupta,"Sanjay Gupta, Sameer Malhotra, Milap Zaveri (dialogue)","Anil Kapoor, Sameera Reddy, Aditya Pancholi, Mahesh Manjrekar",Hindi,India,2 wins & 11 nominations.,"1,284",tt0430381
2278,1977,The Van,Comedy,R,movie,4.5,92 min,Sam Grossman,"Robert J. Rosenthal, Celia Susan Cotelo","Stuart Goetz, Deborah White, Harry Moses, Marcie Barkin",English,USA,0,639,tt0075378
2283,1988,The Couch Trip,Comedy,R,movie,5.6,97 min,Michael Ritchie,"Ken Kolb (novel), Steven Kampmann (screenplay), William Porter (screenplay), Sean Stein (screenplay), Walter Bernstein (screenwriter)","Dan Aykroyd, Walter Matthau, Charles Grodin, Donna Dixon",English,USA,0,"3,753",tt0094910
2285,1996,Unforgettable,"Drama, Mystery, Sci-Fi",R,movie,5.9,117 min,John Dahl,Bill Geddie,"Ray Liotta, Linda Fiorentino, Peter Coyote, Christopher McDonald","English, Spanish",USA,1 win.,"4,023",tt0118040
2286,1980,Fade to Black,"Comedy, Horror, Thriller",R,movie,5.9,102 min,Vernon Zimmerman,Vernon Zimmerman,"Dennis Christopher, Tim Thomerson, Gwynne Gilford, Norman Burton",English,USA,2 wins & 7 nominations.,"1,915",tt0080711
2287,1988,The Lair of the White Worm,"Comedy, Horror",R,movie,5.8,93 min,Ken Russell,"Ken Russell (screenplay), Bram Stoker (novel)","Amanda Donohoe, Hugh Grant, Catherine Oxenberg, Peter Capaldi",English,UK,1 win & 3 nominations.,"7,304",tt0095488
2289,1999,Turbulence 2: Fear of Flying,"Action, Thriller",R,movie,4.3,101 min,David Mackay,"Rob Kerchner (story), Rob Kerchner (screenplay), Brendan Broderick (screenplay), Kevin Bernhardt (screenplay)","Craig Sheffer, Jennifer Beals, Tom Berenger, Jeffrey Nordling",English,USA,1 nomination.,"1,789",tt0192701
2292,1941,Ziegfeld Girl,"Drama, Musical, Romance",PASSED,movie,6.9,132 min,"Robert Z. Leonard, Busby Berkeley","Marguerite Roberts (screenplay), Sonya Levien (screenplay), William Anthony McGuire (original story)","James Stewart, Judy Garland, Hedy Lamarr, Lana Turner",English,USA,0,"1,826",tt0034415
2293,2001,Gaudi Afternoon,"Comedy, Drama, Mystery",R,movie,6.2,97 min,Susan Seidelman,"James Myhre, Barbara Wilson (novel)","Judy Davis, Marcia Gay Harden, Lili Taylor, Juliette Lewis",English,Spain,0,999,tt0235412
2294,1976,The Sailor Who Fell from Grace with the Sea,"Drama, Mystery, Thriller",R,movie,6.2,105 min,Lewis John Carlino,"Yukio Mishima (novel), Lewis John Carlino (written for the screen by)","Sarah Miles, Kris Kristofferson, Jonathan Kahn, Margo Cunningham",English,UK,0,897,tt0075161
2299,1941,Shadow of the Thin Man,"Comedy, Crime, Drama",PASSED,movie,7.3,97 min,W.S. Van Dyke,"Irving Brecher (screen play), Harry Kurnitz (screen play), Harry Kurnitz (from a story by), Dashiell Hammett (based upon characters created by)","William Powell, Myrna Loy, Barry Nelson, Donna Reed",English,USA,0,"3,959",tt0034172
2301,1988,Another Woman,Drama,PG,movie,7.4,81 min,Woody Allen,Woody Allen,"Gena Rowlands, Mia Farrow, Ian Holm, Blythe Danner",English,USA,1 win & 3 nominations.,"10,024",tt0094663
2302,1995,Clockers,"Crime, Drama, Mystery",R,movie,6.9,128 min,Spike Lee,"Richard Price (book), Richard Price (screenplay), Spike Lee (screenplay)","Harvey Keitel, John Turturro, Delroy Lindo, Mekhi Phifer",English,USA,6 nominations.,"16,740",tt0112688
2303,1992,Traces of Red,"Crime, Drama, Mystery",R,movie,5.2,105 min,Andy Wolk,Jim Piddock,"Jim Belushi, Lorraine Bracco, Tony Goldwyn, William Russ",English,USA,1 nomination.,"1,228",tt0105631
2304,1989,Great Balls of Fire!,"Biography, Drama, Music",PG-13,movie,6.2,108 min,Jim McBride,"Myra Lewis (book), Murray Silver Jr. (book), Jack Baran (screenplay), Jim McBride (screenplay)","Dennis Quaid, Winona Ryder, John Doe, Stephen Tobolowsky",English,USA,1 win & 1 nomination.,"12,722",tt0097457
2306,1991,Showdown in Little Tokyo,"Action, Comedy, Crime",R,movie,6,79 min,Mark L. Lester,"Stephen Glantz, Caliope Brattlestreet","Dolph Lundgren, Brandon Lee, Cary-Hiroyuki Tagawa, Tia Carrere","English, Japanese",USA,0,"12,673",tt0102915
2308,2000,Maelstrom,Drama,R,movie,7.2,87 min,Denis Villeneuve,Denis Villeneuve,"Marie-Josée Croze, Jean-Nicolas Verreault, Stephanie Morgenstern, Pierre Lebeau","French, English, Norwegian",Canada,23 wins & 9 nominations.,"3,058",tt0220627
2310,1943,The Song of Bernadette,"Biography, Drama",APPROVED,movie,7.7,156 min,Henry King,"George Seaton (screenplay), Franz Werfel (novel)","Jennifer Jones, Charles Bickford, Vincent Price, Lee J. Cobb","English, French",USA,Won 4 Oscars. Another 4 wins & 8 nominations.,"4,428",tt0036377
2311,1941,Ball of Fire,"Comedy, Romance",PASSED,movie,7.8,111 min,Howard Hawks,"Charles Brackett (screen play), Billy Wilder (screen play), Billy Wilder (from an original story by), Thomas Monroe (from an original story by)","Gary Cooper, Barbara Stanwyck, Oskar Homolka, Henry Travers",English,USA,0,"8,019",tt0033373
2313,1983,Funny Dirty Little War,"Comedy, Drama, War",UNRATED,movie,7.3,80 min,Héctor Olivera,"Roberto Cossa, Héctor Olivera, Osvaldo Soriano (book)","Federico Luppi, Víctor Laplace, Héctor Bidonde, Rodolfo Ranni",Spanish,Argentina,4 wins & 2 nominations.,348,tt0086017
2314,1956,Invasion of the Body Snatchers,"Horror, Sci-Fi",APPROVED,movie,7.8,80 min,Don Siegel,"Daniel Mainwaring (screenplay), Jack Finney (Collier's magazine serial)","Kevin McCarthy, Dana Wynter, Larry Gates, King Donovan",English,USA,1 win.,"34,553",tt0049366
2316,1983,Breathless,"Action, Drama, Romance",R,movie,5.8,100 min,Jim McBride,"François Truffaut (story ""A Bout De Souffle""), Jean-Luc Godard (screenplay), L.M. Kit Carson (screenplay), Jim McBride (screenplay)","Richard Gere, Valérie Kaprisky, Art Metrano, John P. Ryan","English, Italian",USA,0,"6,606",tt0085276
2318,1996,Moving Target,"Action, Thriller, Drama",R,movie,4.3,106 min,Damian Lee,"Kevin McCarthy, Mark Sevi","Michael Dudikoff, Ardon Bess, Michelle Johnson, Billy Dee Williams",English,"Canada, USA",0,251,tt0117096
2322,1987,Real Men,"Action, Comedy, Sci-Fi",PG-13,movie,6.2,85 min,Dennis Feldman,Dennis Feldman,"Jim Belushi, John Ritter, Barbara Barrie, Bill Morey",English,USA,0,"2,864",tt0093828
2324,2002,House of Fools,"Drama, Music, Romance",R,movie,7.2,104 min,Andrey Konchalovskiy,Andrey Konchalovskiy,"Yuliya Vysotskaya, Evgeniy Mironov, Sultan Islamov, Stanislav Varkki","Chechen, Russian","Russia, France",4 wins & 2 nominations.,"2,270",tt0332605
2325,1943,Lassie Come Home,"Adventure, Family",PASSED,movie,7.2,89 min,Fred M. Wilcox,"Hugo Butler (screenplay), Eric Knight (novel)","Roddy McDowall, Donald Crisp, Dame May Whitty, Edmund Gwenn",English,USA,Nominated for 1 Oscar. Another 3 wins.,"3,910",tt0036098
2326,2002,The Laramie Project,"Drama, Crime",TV-14,movie,7.3,97 min,Moisés Kaufman,"Moisés Kaufman (play), Moisés Kaufman (screenplay), Stephen Belber (play), Stephen Belber (screenplay), Amanda Gronich (play), Amanda Gronich (screenplay), Greg Pierotti (play), Greg Pierotti (screenplay), Kelli Simpkins (play), Kelli Simpkins (screenplay), Jeffrey LaHoste (play), Jeffrey LaHoste (screenplay), John McAdams (play), John McAdams (screenplay), Leigh Fondakowski (play), Leigh Fondakowski (screenplay), Andy Paris (play), Andy Paris (screenplay), Barbara Pitts (play), Barbara Pitts (screenplay), Stephen Wangh (play), Stephen Wangh (screenplay)","Kathleen Chalfant, Laura Linney, Peter Fonda, Jeremy Davies",English,USA,Nominated for 4 Primetime Emmys. Another 5 wins & 13 nominations.,"5,518",tt0257850
2329,2004,Control Room,Documentary,N/A,movie,7.8,84 min,Jehane Noujaim,"Julia Bacha, Jehane Noujaim","Samir Khader, Josh Rushing, George W. Bush, Hassan Ibrahim","Arabic, English",USA,9 wins & 9 nominations.,"4,756",tt0391024
